x,y,z
116.608884,9.606997,2.942491
116.608439,9.856997,2.941632
116.882765,9.339399,1.878744
117.132764,9.339838,0
126.649928,-0.661584,0
126.64502,2.20073,0
126.640112,5.063043,0
126.635204,7.925357,0
126.630296,10.78767,0
126.625388,13.649984,0
126.620479,16.512297,0
126.615571,19.374611,0
125.648215,0.336663,0
125.644349,2.591186,0
125.640483,4.84571,0
125.636617,7.100234,0
125.632751,9.354758,0
125.628885,11.609282,0
125.625019,13.863806,0
125.621153,16.11833,0
125.617287,18.372853,0
124.646502,1.334909,0
124.643065,3.339433,0
124.639627,5.343956,0
124.63619,7.348479,0
124.632753,9.353003,0
124.629316,11.357526,0
124.625878,13.362049,0
124.622441,15.366573,0
124.619004,17.371096,0
123.786289,-0.666601,0
123.75156,19.369574,0
123.644789,2.333156,0
123.642114,3.892732,0
123.63944,5.452308,0
123.636766,7.011884,0
123.634092,8.571459,0
123.631417,10.131035,0
123.628743,11.690611,0
123.626069,13.250187,0
123.623394,14.809763,0
123.62072,16.369339,0
123.392514,0.332711,0
123.361293,18.368886,0
122.643076,3.331402,0
122.641012,4.53502,0
122.640784,1.331395,0
122.638948,5.738638,0
122.636884,6.942256,0
122.63482,8.145874,0
122.632756,9.349492,0
122.630692,10.55311,0
122.628628,11.756728,0
122.626564,12.960346,0
122.6245,14.163964,0
122.622436,15.367582,0
122.613025,17.367568,0
122.084136,2.330422,0
122.059865,16.366594,0
121.641362,4.329649,0
121.640039,5.101662,0
121.638715,5.873676,0
121.637391,6.645689,0
121.636067,7.417703,0
121.634743,8.189716,0
121.633419,8.96173,0
121.632096,9.733743,0
121.630772,10.505757,0
121.629448,11.277771,0
121.628124,12.049784,0
121.6268,12.821798,0
121.625477,13.593811,0
121.624153,14.365825,0
121.438475,3.329292,0
121.417679,15.365463,0
121.136813,0.328759,0
121.105299,18.364918,0
120.92265,-0.671618,0
120.887548,19.364537,0
120.868582,4.328295,0
120.851272,14.364465,0
120.639649,5.327896,0
120.638271,6.131513,0
120.636893,6.93513,0
120.635515,7.738747,0
120.635067,1.327881,0
120.634137,8.542364,0
120.632759,9.345981,0
120.631381,10.149599,0
120.630003,10.953216,0
120.628625,11.756833,0
120.627247,12.56045,0
120.625869,13.364067,0
120.607047,17.36404,0
120.523483,2.327687,0
120.499009,16.363849,0
120.233874,3.327182,0
120.212922,15.363344,0
120.095802,4.326941,0
120.078392,14.363106,0
119.835022,5.326486,0
119.821137,13.362652,0
119.637936,6.326142,0
119.637073,6.829156,0
119.636211,7.33217,0
119.635348,7.835184,0
119.634486,8.338198,0
119.633623,8.841212,0
119.632761,9.344226,0
119.631898,9.84724,0
119.631035,10.350254,0
119.630173,10.853268,0
119.62931,11.356282,0
119.628448,11.859296,0
119.627585,12.36231,0
119.323022,4.325587,0
119.305511,14.361747,0
119.134069,6.325259,0
119.123653,12.361424,0
119.030394,5.325076,0
119.029273,3.325071,0
119.016405,13.361237,0
119.008165,15.361225,0
118.96283,2.324953,0
118.938154,16.361104,0
118.881112,0.324807,0
118.849305,18.360951,0
118.636223,7.324389,0
118.630201,6.324377,0
118.629349,1.324367,0
118.629302,11.360553,0
118.61972,12.360538,0
118.601069,17.360513,0
118.550242,4.324233,0
118.532631,14.360388,0
118.225767,5.323667,0
118.211673,13.359822,0
118.126334,6.323494,0
118.115787,12.359651,0
118.05901,-0.676635,0
118.023537,19.3595,0
117.824672,3.322961,0
117.803407,15.359107,0
117.777462,4.32288,0
117.75975,14.359028,0
117.634509,8.322635,0
117.634335,8.424443,0
117.63416,8.526251,0
117.633986,8.628059,0
117.633811,8.729867,0
117.633637,8.831675,0
117.633462,8.933483,0
117.633287,9.035291,0
117.633113,9.137099,0
117.632938,9.238907,0
117.632764,9.340715,0
117.632589,9.442524,0
117.632415,9.544332,0
117.63224,9.64614,0
117.632065,9.747948,0
117.631891,9.849756,0
117.631716,9.951564,0
117.631542,10.053372,0
117.631367,10.15518,0
117.631192,10.256988,0
117.631018,10.358796,0
117.622467,6.322611,0
117.611855,12.358765,0
117.532176,8.322456,0
117.528671,10.358616,0
117.429842,8.322277,0
117.426324,10.358436,0
117.421139,5.322257,0
117.406941,13.358406,0
117.402178,2.322219,0
117.377298,16.358359,0
117.327508,8.322097,0
117.323977,10.358256,0
117.225175,8.321918,0
117.22163,10.358076,0
117.133653,8.821759,0
117.131876,9.857917,0
117.122841,8.321739,0
117.119283,10.357896,0
117.1186,6.321728,0
117.107922,12.357879,0
117.020507,8.32156,0
117.016936,10.357716,1.246816
117.004682,4.321526,0
116.98687,14.357669,0
116.918174,8.32138,0
116.91459,10.357536,2.250163
116.883225,9.07132,0.680364
116.882305,9.607478,2.316025
116.81584,8.321201,0
116.812243,10.357356,2.801692
116.713506,8.321022,0
116.709896,10.357176,2.397181
116.632796,9.320882,1
116.632734,9.357038,4
116.625411,0.320855,0
116.623631,1.320853,0
116.620072,3.32085,0
116.616512,5.320847,0
116.614732,6.320846,0
116.611173,8.320842,0
116.607549,10.356996,2.726699
116.603989,12.356993,1.191956
116.60221,13.356991,0
116.59865,15.356988,0
116.595091,17.356985,0
116.593311,18.356983,0
116.58599,9.3208,2
116.585923,9.356956,3
116.508839,8.320663,0
116.505202,10.356816,2.66509
116.406505,8.320484,0
116.402855,10.356636,2.583116
116.336451,9.070362,0.92242
116.335462,9.606516,2.803319
116.304172,8.320305,0
116.300508,10.356456,2.501881
116.231902,4.320172,0
116.21399,14.35631,0
116.201838,8.320125,0
116.198161,10.356276,2.430219
116.110865,6.319963,0
116.100057,12.356106,0.928684
116.099504,8.319946,0
116.095814,10.356096,2.372313
116.086913,8.819925,0
116.085001,9.856076,2.619355
115.997171,8.319767,0
115.993467,10.355916,2.328268
115.894837,8.319587,0
115.891121,10.355736,2.295793
115.841525,2.319485,0
115.816443,16.355614,0
115.811885,5.319437,0
115.797478,13.355576,0
115.792503,8.319408,0
115.788774,10.355556,2.272744
115.69017,8.319229,0
115.686427,10.355376,2.257402
115.606998,6.31908,0
115.596124,12.35522,0.838636
115.587836,8.31905,0
115.587648,8.420857,0
115.58746,8.522664,0
115.587273,8.624472,0
115.587085,8.726279,0
115.586897,8.828086,0
115.586709,8.929893,0
115.586521,9.031701,0.894175
115.586334,9.133508,1.647787
115.586146,9.235315,1.8557
115.585958,9.337123,2.267914
115.58577,9.43893,2.284098
115.585582,9.540737,2.334586
115.585395,9.642545,2.379693
115.585207,9.744352,2.401854
115.585019,9.846159,2.401534
115.584831,9.947967,2.404094
115.584643,10.049774,2.4101
115.584456,10.151581,2.400138
115.584268,10.253388,2.320613
115.58408,10.355196,2.248414
115.459122,4.318818,0
115.441109,14.354951,0
115.415471,3.31874,0
115.393893,15.354869,0
115.195371,-0.681652,0
115.159525,19.354463,0
115.10313,6.318197,0
115.092191,12.354334,0.815401
115.007257,5.318028,0
114.992746,13.35416,0
114.686342,4.317464,0
114.668229,14.353591,0
114.617913,1.31734,0
114.599263,6.317315,0
114.589682,7.317299,0
114.589112,17.353457,0
114.588259,12.353448,0.824736
114.582237,11.353435,1.514071
114.36971,0.316903,0
114.337317,18.353016,0
114.280872,2.316751,0
114.255587,16.352869,0
114.21087,3.31663,0
114.20263,5.316618,0
114.189136,15.35275,0
114.188014,13.352745,0
114.095396,6.316432,0
114.084326,12.352561,0.829562
113.913562,4.31611,0
113.895348,14.352232,0
113.591529,6.315549,0
113.590601,6.81856,0
113.589673,7.32157,0
113.588745,7.824581,0
113.587817,8.327591,0
113.586889,8.830602,0
113.585961,9.333612,1.564988
113.585033,9.836623,1.524689
113.584105,10.339633,1.401251
113.583177,10.842644,1.325358
113.582249,11.345654,1.279644
113.581321,11.848665,1.142418
113.580393,12.351675,0.820953
113.398002,5.315208,0
113.383282,13.35133,0
113.140781,4.314756,0
113.122468,14.350873,0
113.006269,3.314519,0
112.984378,15.350631,0
112.720219,2.314016,0
112.694732,16.350124,0
112.612196,1.313826,0
112.593375,5.313799,0
112.591892,6.11741,0
112.59041,6.921022,0
112.588928,7.724634,0
112.587445,8.528245,0
112.585963,9.331857,1.041126
112.58448,10.135468,0.833967
112.583134,17.349929,0
112.582998,10.93908,0.765451
112.581515,11.742691,0.749605
112.580033,12.546303,0.619721
112.57855,13.349915,0
112.368001,4.313402,0
112.349587,14.349514,0
